"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"MOCO","MOCON, Inc.","Technology","Scientific & Technical Instruments","USA",116.09,33.14,,,1.88,3.23,,,2.19%,51.30%,0.61,,,-5.53%,,11.10%,70.50%,10.50%,5.79,5.43,4.50%,0.00%,41.00%,8.75%,0.14%,1.07,,,,,,,,55.80%,,,0.50%,-0.05%,6.08%,26.10%,46.67%,2.82%,0.56,0.43,1.24%,1.67%,0.55%,1.94%,20.76%,-4.98%,10.16%,-4.98%,53.99%,52.79,-1.72%,0.49%,,6.91,0.53,20.05,-1.23%,3665,3/1/2017 4:30:00 PM
"MOD","Modine Manufacturing Company","Consumer Goods","Auto Parts","USA",559.10,38.47,9.38,2.96,0.41,1.37,11.18,,,0.00%,0.30,-107.70%,60.26%,-17.00%,13.00%,-1.40%,-76.10%,6.40%,49.26,49.00,0.80%,-6.62%,84.30%,1.88%,1.12%,1.64,1.30%,3.60%,0.30%,1.30,0.90,1.04,1.29,17.00%,1.40%,1.00%,-7.35%,-2.99%,-23.57%,-4.38%,19.35%,-23.83%,1.40,0.49,4.04%,3.91%,-2.03%,-12.59%,-1.79%,-28.16%,4.61%,-30.58%,34.32%,38.84,-0.87%,1.78%,1.70,333.87,0.93,11.35,0.89%,309145,2/6/2017 4:30:00 PM
"MODN","Model N, Inc.","Technology","Application Software","USA",283.11,,,,2.56,4.65,5.40,,,,-1.19,-60.20%,53.60%,,10.00%,10.40%,6.70%,14.70%,28.17,21.92,11.00%,-2.06%,69.50%,3.86%,6.65%,7.47,-29.30%,-49.10%,-50.00%,2.00,2.00,0.00,0.00,50.20%,-29.60%,-29.80%,-4.29%,0.50%,11.67%,-6.60%,-6.42%,13.56%,1.11,0.37,2.41%,3.31%,-3.62%,5.66%,-5.71%,-10.51%,18.93%,-28.11%,43.98%,49.14,0.00%,0.50%,2.80,194.87,0.42,10.05,0.50%,80926,2/6/2017 4:30:00 PM
"MOFG","MidWestOne Financial Group, Inc.","Financial","Regional - Southwest  Banks","USA",410.42,20.40,12.86,3.40,3.65,1.36,9.48,16.22,1.82%,35.90%,1.78,-26.40%,7.62%,3.90%,6.00%,10.40%,-53.10%,-3.80%,11.30,7.50,1.10%,0.00%,26.40%,18.56%,0.92%,4.07,0.70%,6.70%,24.40%,,,0.13,0.13,,81.50%,18.20%,-1.25%,6.48%,4.64%,20.15%,35.78%,-3.40%,1.22,0.95,2.75%,2.71%,-1.38%,-0.43%,12.63%,-5.81%,6.95%,-7.35%,42.49%,46.85,-2.68%,0.73%,2.00,16.87,0.72,36.32,-1.97%,12114,1/26/2017 4:30:00 PM
"MOG-A","Moog Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",2346.48,17.97,16.02,2.13,0.96,2.37,7.07,11.91,,0.00%,3.61,3.50%,12.77%,3.30%,8.43%,0.70%,18.90%,3.70%,36.20,31.77,0.70%,,93.50%,0.02%,0.45%,1.42,4.30%,13.00%,6.20%,2.70,1.90,1.03,1.03,29.70%,7.10%,5.40%,-3.84%,-1.85%,-6.91%,11.28%,49.22%,-1.31%,1.80,1.72,3.23%,2.34%,-3.43%,-2.26%,6.55%,-7.13%,4.65%,-11.27%,52.12%,39.75,-1.10%,1.02%,3.00,101.42,0.78,64.82,-0.09%,79577,1/27/2017 8:30:00 AM
"MOH","Molina Healthcare, Inc.","Healthcare","Health Care Plans","USA",2598.38,49.07,14.04,2.59,0.15,1.55,0.57,5.23,,0.00%,0.93,-63.60%,57.75%,-11.00%,18.93%,31.40%,-269.70%,17.10%,56.82,33.32,2.00%,-5.68%,85.00%,2.22%,27.50%,7.69,0.70%,3.20%,4.60%,1.30,1.30,0.71,1.00,14.20%,1.70%,0.30%,-8.52%,-20.73%,-14.68%,-19.90%,-28.42%,-15.72%,0.82,1.48,2.95%,2.59%,-11.39%,-16.70%,-15.74%,-24.16%,-2.10%,-32.62%,2.76%,24.47,-2.41%,-0.09%,2.90,1191.49,1.86,45.73,-2.49%,2211120,2/15/2017 4:30:00 PM
"MOM","QuantShares US Market Neut Momentum","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.35%,0.27%,-0.96%,-6.86%,-11.48%,-0.40%,,0.05,0.04%,0.08%,0.80%,0.71%,-5.20%,-0.61%,9.57%,-16.46%,12.00%,65.19,0.00%,0.00%,,1.09,19.92,22.68,0.00%,0,
"MOMO","Momo Inc.","Technology","Internet Software & Services","China",5918.07,92.43,26.49,,17.08,10.80,10.56,44.00,,0.00%,0.33,115.50%,62.75%,,,,,318.70%,192.27,8.00,0.39%,0.00%,26.20%,17.33%,45.51%,1.32,11.50%,13.50%,1.20%,5.50,5.50,0.00,0.00,59.30%,17.10%,19.50%,14.55%,23.17%,47.48%,25.79%,140.28%,67.46%,,1.66,7.49%,4.87%,13.79%,29.16%,55.43%,-10.39%,73.12%,-10.39%,246.62%,63.14,-0.71%,3.16%,1.70,2750.76,2.54,30.78,2.43%,6977492,3/7/2017 8:30:00 AM
"MON","Monsanto Company","Basic Materials","Agricultural Chemicals","USA",49977.67,31.41,21.12,3.93,3.59,11.35,22.66,65.33,1.89%,58.50%,3.63,-37.80%,13.92%,0.00%,8.00%,2.70%,107.40%,19.40%,438.17,437.06,0.20%,-9.16%,78.20%,1.82%,0.74%,1.77,8.00%,35.60%,12.40%,1.30,0.80,1.83,1.96,52.90%,20.80%,11.60%,-0.79%,6.26%,8.76%,6.67%,31.04%,8.97%,0.99,1.11,0.86%,0.93%,2.10%,4.37%,8.73%,-1.71%,9.43%,-1.71%,36.67%,64.80,-0.02%,0.25%,2.30,1818.47,0.71,114.06,0.24%,1288713,4/6/2017 8:30:00 AM
"MOO","VanEck Vectors Agribusiness ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,2.05%,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,-0.43%,-1.05%,3.84%,7.99%,18.69%,4.44%,,0.39,0.56%,0.59%,-0.64%,0.57%,7.49%,-2.05%,4.95%,-2.05%,20.73%,50.39,0.06%,0.53%,,117.29,0.33,53.62,0.58%,38957,
"MORE","Monogram Residential Trust, Inc.","Financial","REIT - Residential","USA",1669.85,184.81,,36.96,5.95,1.47,22.44,,3.01%,529.60%,0.05,-87.20%,33.30%,-39.80%,5.00%,34.70%,472.50%,18.10%,167.32,165.80,0.30%,0.00%,76.20%,2.76%,2.91%,5.28,0.30%,0.80%,-1.60%,,,1.35,1.35,55.80%,-15.30%,3.40%,-2.54%,-2.06%,-5.18%,-2.77%,3.73%,-7.76%,,0.15,1.28%,1.35%,-2.50%,-3.36%,-2.76%,-9.02%,0.00%,-9.02%,7.93%,34.81,-0.50%,0.10%,2.20,915.65,1.06,9.98,-0.40%,974063,2/28/2017 4:30:00 PM
"MORL","UBS ETRACS Mthly Py 2xLvg Mortg REIT ETN","Financial","Exchange Traded Fund","USA",,,,,,,,,19.29%,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,-3.61%,1.97%,6.34%,10.13%,65.50%,7.90%,,0.32,2.63%,1.86%,-1.80%,1.51%,12.82%,-5.21%,10.45%,-5.21%,68.60%,46.30,2.04%,0.06%,,330.95,0.26,16.02,2.10%,86450,
"MORN","Morningstar, Inc.","Technology","Information & Delivery Services","USA",3478.29,21.59,22.69,1.35,4.36,4.96,11.44,30.78,1.15%,23.50%,3.72,24.20%,11.32%,14.10%,16.00%,4.80%,91.50%,5.30%,43.30,18.36,56.60%,-0.02%,39.20%,0.33%,0.81%,2.16,14.30%,24.50%,12.40%,1.60,1.60,0.36,0.36,56.90%,22.60%,20.20%,0.39%,4.30%,7.78%,-2.57%,-0.17%,9.54%,0.75,1.29,1.68%,1.53%,0.73%,4.32%,2.99%,-2.00%,12.34%,-9.17%,18.95%,59.79,0.41%,0.40%,3.00,69.12,0.75,80.33,0.82%,51674,2/21/2017 4:30:00 PM
"MORT","VanEck Vectors Mortgage REIT Income ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,8.26%,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,-1.76%,1.51%,3.26%,5.71%,27.12%,4.66%,,0.22,1.12%,0.81%,-0.66%,1.21%,6.95%,-2.39%,5.73%,-2.39%,28.67%,48.70,0.35%,0.71%,,26.39,1.42,22.89,1.06%,37393,
"MOS","The Mosaic Company","Basic Materials","Agricultural Chemicals","USA",10291.23,34.63,23.37,1.66,1.44,1.07,15.29,271.54,2.06%,129.80%,0.84,-69.50%,17.39%,-28.20%,20.80%,-8.40%,-92.30%,-13.90%,352.56,349.58,5.40%,0.02%,92.40%,-3.31%,7.34%,5.04,1.70%,3.00%,2.90%,2.10,1.10,0.39,0.40,11.30%,4.50%,4.20%,-3.41%,-8.58%,-2.59%,5.30%,3.02%,0.40%,1.29,0.89,3.01%,2.64%,-7.40%,-6.19%,6.13%,-14.30%,1.92%,-14.30%,30.64%,35.21,0.55%,0.10%,3.30,5095.16,1.14,29.19,0.66%,5809570,2/7/2017 8:30:00 AM
"MOSY","MoSys, Inc.","Technology","Semiconductor - Integrated Circuits","USA",15.46,,,,2.45,0.51,1.21,,,,-3.66,23.70%,51.70%,7.00%,30.00%,-22.40%,54.00%,60.00%,6.81,6.44,2.93%,0.00%,29.30%,-24.11%,38.74%,2.27,-52.50%,-65.80%,-70.30%,6.30,5.70,0.28,0.28,46.20%,,,-0.87%,-15.93%,-31.21%,-71.63%,-73.29%,-1.30%,0.87,0.39,19.55%,19.08%,-13.75%,-12.58%,-52.11%,-47.45%,26.11%,-74.78%,26.11%,45.39,-5.42%,4.80%,2.00,1098.76,0.11,2.27,-0.87%,121043,3/15/2017 8:30:00 AM
"MOTI","VanEck Vectors Morningstar Intl Moat ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,1.23%,,,,,,,,,,,,,,,,,12.28,,,,,,,,,,,-0.22%,1.29%,7.76%,9.13%,13.35%,8.67%,,0.24,0.52%,0.68%,0.18%,2.50%,7.70%,-1.32%,9.48%,-1.32%,22.23%,57.23,-0.15%,0.70%,,4.10,0.11,30.18,0.55%,434,
"MOV","Movado Group, Inc.","Consumer Goods","Recreational Goods, Other","USA",535.85,13.92,13.01,0.93,0.95,1.11,2.68,15.14,2.30%,30.60%,1.62,-6.30%,8.56%,31.90%,15.00%,9.30%,-5.40%,-3.10%,23.71,22.43,2.50%,-0.72%,93.70%,1.94%,2.77%,4.71,6.30%,8.30%,9.70%,6.30,4.30,0.07,0.08,54.00%,10.30%,6.70%,-4.24%,-12.57%,-24.79%,5.00%,-24.00%,-21.39%,0.26,0.90,3.70%,3.52%,-8.61%,-13.53%,-5.67%,-23.13%,5.61%,-29.26%,19.29%,33.01,0.22%,0.45%,2.30,131.77,1.08,22.60,0.67%,142880,3/30/2017 8:30:00 AM
"MPA","BlackRock MuniYield Pennsylvania Quality Fund","Financial","Closed-End Fund - Debt","USA",,21.60,,,,0.86,,,,,0.64,,,,,,,,,,,,,,,0.45,,,,,,,,,,,-2.14%,-4.02%,-2.66%,-14.62%,-3.03%,-0.81%,,0.11,0.86%,0.70%,-2.94%,-2.77%,-6.94%,-4.23%,0.77%,-14.67%,1.64%,26.90,-0.74%,0.29%,,22.66,1.07,13.87,-0.45%,24233,
"MPAA","Motorcar Parts of America, Inc.","Consumer Goods","Auto Parts","USA",529.90,18.02,10.93,0.72,1.31,2.17,89.81,,,0.00%,1.55,-14.80%,8.05%,-11.00%,25.00%,18.00%,40.80%,19.80%,19.02,18.48,1.00%,-2.93%,,-4.71%,10.27%,13.81,6.90%,13.40%,11.10%,1.00,0.50,0.07,0.16,26.60%,14.90%,7.40%,-1.45%,2.01%,0.87%,-2.14%,-23.84%,3.49%,1.57,0.92,2.09%,3.72%,-1.38%,1.20%,0.92%,-7.07%,11.04%,-28.16%,28.09%,47.47,0.04%,1.05%,2.00,137.48,0.42,27.86,1.09%,58395,2/9/2017 8:30:00 AM
"MPB","Mid Penn Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",116.89,14.92,,,2.91,1.63,2.54,,1.88%,25.90%,1.86,25.80%,,9.80%,,5.00%,50.40%,12.90%,4.22,3.75,0.20%,15.35%,4.60%,0.52%,0.05%,1.04,0.80%,10.70%,33.50%,,,0.30,0.30,,81.90%,19.40%,-2.81%,9.27%,16.76%,49.61%,89.69%,16.86%,0.55,0.68,2.37%,1.86%,1.63%,7.81%,38.02%,-4.32%,20.29%,-4.32%,94.21%,55.51,0.00%,-2.46%,,1.69,0.19,27.70,-2.46%,325,01/26/2017
"MPC","Marathon Petroleum Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",26202.20,22.56,13.37,,0.41,1.94,29.54,69.87,2.89%,61.20%,2.21,-57.90%,24.45%,-7.90%,-0.98%,-4.30%,23.70%,10.20%,525.41,522.48,0.30%,-2.71%,81.40%,0.08%,1.97%,1.98,2.70%,8.80%,7.30%,1.50,0.70,0.78,0.78,9.90%,3.80%,1.90%,-2.73%,2.26%,1.17%,16.56%,41.86%,-0.24%,1.72,1.11,2.11%,1.92%,-0.84%,0.70%,16.20%,-7.99%,7.15%,-7.99%,59.54%,49.97,0.58%,0.61%,1.70,5186.67,0.91,49.87,1.20%,4694243,2/1/2017 8:30:00 AM
"MPCT","iShares MSCI Global Impact","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,22.92,,,,,,,,,,,-0.18%,0.71%,6.70%,0.31%,,4.74%,,0.15,0.00%,0.13%,-0.17%,1.43%,3.14%,-0.87%,5.62%,-0.87%,11.17%,54.57,0.00%,0.26%,,1.30,0.05,49.98,0.26%,62,
"MPEL","Melco Crown Entertainment Limited","Services","Resorts & Casinos","Hong Kong",8141.60,47.41,25.46,5.93,1.80,2.41,4.26,,0.61%,0.00%,0.35,77.50%,22.96%,-8.70%,8.00%,3.40%,484.90%,12.80%,493.43,132.39,33.50%,0.00%,42.90%,22.06%,17.96%,5.25,1.90%,5.00%,4.50%,1.50,1.50,1.18,1.20,31.10%,7.50%,3.90%,-2.65%,-0.59%,-8.31%,18.42%,19.46%,12.74%,2.03,0.44,1.77%,2.50%,-1.62%,1.31%,13.07%,-9.18%,15.88%,-10.37%,51.03%,48.81,0.36%,-0.66%,2.20,4531.05,0.86,16.50,-0.30%,3876780,2/16/2017 8:30:00 AM
"MPG","Metaldyne Performance Group Inc.","Consumer Goods","Auto Parts","USA",1550.22,15.98,12.23,,0.54,2.30,7.39,15.66,1.59%,,1.45,15.80%,7.78%,,-0.40%,28.80%,-19.20%,-12.10%,66.82,63.40,4.30%,0.00%,97.50%,3.80%,1.15%,3.13,,,,2.00,1.60,2.71,2.73,17.10%,,,-1.71%,-1.30%,8.09%,44.21%,67.50%,1.50%,,0.34,1.21%,1.49%,-0.89%,-0.10%,26.60%,-2.94%,4.22%,-2.94%,87.59%,47.94,0.00%,0.43%,3.00,232.47,0.64,23.20,0.43%,149209,3/16/2017 8:30:00 AM
"MPLX","MPLX LP","Basic Materials","Oil & Gas Pipelines","USA",13356.34,,21.47,,5.16,1.37,57.08,162.88,5.75%,,-0.06,-99.70%,47.72%,-9.10%,10.92%,44.50%,339.80%,114.40%,369.47,222.99,0.30%,-18.19%,83.80%,4.79%,5.44%,8.48,0.00%,0.00%,3.50%,1.10,1.00,0.58,0.00,54.80%,19.60%,0.00%,-4.74%,-5.34%,15.67%,8.74%,54.37%,5.88%,1.31,0.84,2.42%,2.23%,-4.65%,-1.53%,9.51%,-8.32%,10.50%,-8.32%,57.41%,39.02,-0.28%,0.86%,1.90,1430.81,0.62,36.15,0.58%,884489,2/1/2017 8:30:00 AM
"MPO","Midstates Petroleum Company, Inc.","Basic Materials","Independent Oil & Gas","USA",480.23,,,,1.94,,1.72,,,,-67.95,,,,,42.10%,95.00%,-41.80%,24.96,10.62,1.10%,,92.00%,,0.48%,1.31,-99.70%,49.10%,-289.30%,1.00,1.00,,,,,,-3.56%,-3.27%,-8.16%,10588.89%,3054.10%,-7.23%,,0.92,4.34%,4.82%,-5.07%,-6.70%,101.06%,-14.64%,7.19%,-23.04%,38380.00%,29.10,-0.05%,0.00%,,38.94,0.52,19.24,-0.05%,20271,
"MPSX","Multi Packaging Solutions International Limited","Consumer Goods","Packaging & Containers","USA",1388.32,151.44,21.66,14.34,0.89,3.30,31.13,19.86,,0.00%,0.12,-65.00%,25.00%,16.90%,10.56%,26.40%,86.50%,-10.10%,77.69,77.34,0.40%,-8.41%,,,1.18%,1.21,0.50%,2.10%,5.40%,1.80,1.20,2.10,2.12,20.80%,4.60%,0.60%,0.22%,-0.28%,32.27%,27.37%,7.91%,25.32%,,0.05,0.22%,0.30%,0.09%,7.64%,20.93%,-0.46%,27.73%,-0.46%,62.45%,77.16,-0.17%,0.17%,2.80,753.87,0.95,17.87,0.00%,713814,2/13/2017 4:30:00 PM
"MPV","Barings Participation Investors","Financial","Closed-End Fund - Debt","USA",,21.34,,,,1.05,,,,,0.66,,,,,,,,,,,,,,,0.71,,,,,,,,,,,0.57%,0.06%,-3.41%,-10.10%,0.78%,-0.35%,,0.18,1.69%,1.12%,0.23%,-0.24%,-3.49%,-2.75%,1.51%,-12.22%,3.97%,48.87,-0.14%,-0.49%,,11.95,1.62,14.15,-0.63%,19418,
"MPVD","Mountain Province Diamonds Inc.","Basic Materials","Industrial Metals & Minerals","Canada",582.37,276.92,8.93,,,2.38,,,,0.00%,0.01,-628.90%,4937.50%,-6.50%,,,79.80%,,161.77,120.63,34.50%,,10.70%,-4.26%,0.14%,1.52,0.40%,0.90%,,2.20,1.50,0.00,0.00,,,,-7.69%,-23.40%,-28.00%,-33.58%,-2.70%,-28.71%,0.60,0.21,7.97%,5.15%,-14.57%,-21.31%,-26.02%,-33.94%,7.46%,-34.78%,7.46%,22.01,0.00%,1.41%,2.00,110.22,1.56,3.60,1.41%,171651,
"MPW","Medical Properties Trust, Inc.","Financial","REIT - Healthcare Facilities","USA",3888.87,13.79,11.75,0.84,7.19,1.20,46.74,,7.87%,102.50%,0.89,35.50%,4.01%,54.40%,16.39%,32.50%,-45.20%,16.60%,318.76,316.01,0.50%,-3.12%,92.20%,10.14%,11.35%,11.10,3.80%,8.40%,5.70%,,,0.90,0.90,99.50%,63.10%,41.50%,-5.35%,-6.30%,-0.41%,-15.79%,9.15%,-0.81%,0.91,0.31,2.52%,2.44%,-6.79%,-4.84%,-10.28%,-11.98%,1.92%,-20.60%,11.01%,33.19,-0.89%,1.32%,3.10,3229.53,1.07,12.20,0.41%,3459648,2/9/2017 8:30:00 AM
"MPWR","Monolithic Power Systems, Inc.","Technology","Semiconductor - Specialized","USA",3644.08,71.06,25.62,2.99,9.38,8.44,13.59,96.92,0.90%,61.40%,1.26,46.20%,23.37%,27.20%,23.80%,14.60%,60.30%,19.20%,40.83,38.74,7.90%,-11.21%,97.60%,-1.32%,2.42%,2.68,11.00%,13.00%,11.60%,7.20,5.90,0.00,0.00,54.30%,14.00%,13.60%,0.77%,-0.73%,12.74%,18.70%,51.33%,8.93%,1.25,1.51,1.39%,1.86%,1.51%,2.41%,14.38%,-2.74%,9.70%,-2.74%,53.68%,56.89,0.42%,0.62%,1.70,349.22,0.59,89.25,1.04%,205709,2/9/2017 4:30:00 PM
"MPX","Marine Products Corporation","Consumer Goods","Recreational Vehicles","USA",348.60,22.67,13.36,2.27,1.44,5.42,52.03,74.17,2.79%,54.30%,0.44,14.90%,29.31%,19.30%,10.00%,17.80%,-1.40%,14.60%,34.79,7.13,11.30%,0.00%,14.90%,-33.11%,2.36%,3.98,14.40%,18.50%,25.10%,3.00,0.60,0.00,0.00,20.90%,9.50%,6.70%,-6.96%,-6.53%,-14.82%,13.41%,37.99%,-27.29%,0.63,0.30,2.74%,2.74%,-6.15%,-15.82%,0.24%,-32.18%,0.10%,-32.18%,43.17%,27.68,-0.99%,1.00%,3.00,42.19,0.76,10.02,0.00%,32120,1/25/2017 8:30:00 AM
"MQT","BlackRock MuniYield Quality Fund II, Inc.","Financial","Closed-End Fund - Debt","USA",,11.39,,,,0.86,,,,,1.10,,,0.00%,,,,,,,,,,,,0.04,,,,,,,,,,,-2.65%,-4.49%,-2.45%,-12.26%,-3.89%,-1.48%,,0.09,0.91%,0.65%,-2.57%,-2.71%,-6.52%,-4.78%,0.16%,-13.92%,3.02%,24.56,-0.32%,0.08%,,56.90,0.61,12.50,-0.24%,34749,
"MQY","BlackRock MuniYield Quality Fund, Inc.","Financial","Closed-End Fund - Debt","USA",,11.11,,,,0.88,,,,,1.31,,,0.00%,,,,,,,,,,,,0.09,,,,,,,,,,,-1.22%,-3.18%,-1.24%,-11.55%,-4.08%,-0.32%,,0.10,0.74%,0.57%,-1.74%,-1.83%,-5.98%,-3.31%,1.05%,-12.34%,3.76%,30.53,-0.27%,0.41%,,78.81,1.02,14.53,0.14%,80762,
"MRC","MRC Global Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1732.63,,30.30,,0.57,2.25,15.90,7.88,,,-1.11,67.40%,896.67%,-39.10%,15.00%,-8.80%,93.50%,-25.70%,95.62,90.56,1.00%,-5.26%,,-1.14%,8.51%,7.79,-4.60%,-12.80%,-4.20%,2.60,1.30,0.53,0.54,15.40%,-1.90%,-3.50%,-10.25%,-10.12%,-15.05%,17.59%,23.94%,-10.56%,1.30,0.78,4.25%,3.87%,-10.73%,-11.61%,6.97%,-18.60%,1.68%,-19.54%,57.57%,34.87,0.39%,-0.33%,2.30,989.24,1.23,18.12,0.06%,1218950,2/16/2017 4:30:00 PM
"MRCC","Monroe Capital Corporation","Financial","Mortgage Investment","USA",258.96,9.90,9.83,1.98,5.90,1.01,43.16,,8.97%,88.80%,1.58,5.70%,-1.61%,20.31%,5.00%,,-38.60%,20.70%,16.60,16.33,0.10%,113.09%,29.00%,6.88%,0.98%,1.95,5.70%,10.50%,5.30%,,,0.61,0.61,56.30%,50.20%,47.90%,-0.51%,0.91%,4.30%,1.09%,26.93%,1.43%,0.59,0.30,2.13%,1.72%,-1.09%,0.07%,4.80%,-3.11%,3.65%,-3.11%,29.42%,46.84,0.84%,0.13%,1.60,81.65,1.04,15.60,0.97%,84781,3/7/2017 4:30:00 PM
"MRCY","Mercury Systems, Inc.","Technology","Computer Peripherals","USA",1562.27,66.14,51.02,5.51,4.64,3.08,33.82,159.42,,0.00%,0.58,28.40%,45.81%,-4.40%,12.00%,3.40%,-12.60%,62.30%,40.94,39.37,2.90%,-16.39%,98.80%,2.52%,5.90%,4.03,3.30%,4.90%,2.80%,3.30,2.30,0.37,0.39,46.10%,8.00%,6.50%,1.25%,12.47%,23.74%,66.86%,128.91%,26.27%,0.57,1.02,3.22%,2.59%,2.16%,12.06%,38.24%,-2.58%,30.19%,-2.58%,133.54%,64.30,-0.73%,0.50%,1.80,576.54,0.67,38.16,-0.24%,385996,1/23/2017 4:30:00 PM
"MRGE","Mirage Energy Corporation","Technology","Healthcare Information Services","USA",615.00,,,,54023.19,,,,,,,,,7.70%,15.00%,,,-89.70%,300.00,180.41,,,,,0.85%,2151.53,,,,,,,,,,,17.14%,,,,,4.59%,,0.07,0.60%,,7.78%,7.78%,7.78%,-0.49%,17.14%,-0.49%,17.14%,,0.00%,0.00%,5.00,0.71,0.27,2.05,0.00%,0,
"MRIN","Marin Software Incorporated","Technology","Application Software","USA",74.24,,,,0.74,0.71,2.16,,,,-0.43,52.80%,,36.90%,20.00%,22.60%,-106.70%,-21.00%,46.40,35.81,17.29%,0.00%,61.20%,-4.39%,0.78%,2.18,-14.70%,-18.00%,-19.10%,4.60,4.60,0.03,0.04,64.90%,-15.90%,-16.50%,6.67%,-27.27%,-33.33%,-36.76%,-50.31%,-31.91%,1.49,0.13,7.94%,6.85%,-22.24%,-28.41%,-32.48%,-41.61%,6.67%,-53.49%,6.67%,27.70,3.23%,0.00%,3.00,128.53,2.10,1.60,3.23%,269412,2/28/2017 4:30:00 PM
"MRK","Merck & Co., Inc.","Healthcare","Drug Manufacturers - Major","USA",179509.80,46.76,15.63,7.06,4.51,4.51,12.32,49.34,2.87%,130.00%,1.40,-10.00%,9.98%,-7.00%,6.63%,-3.70%,-162.20%,-1.00%,2736.43,2732.81,0.04%,-29.26%,74.80%,-1.18%,0.69%,1.80,4.00%,9.20%,6.20%,1.80,1.50,0.61,0.62,65.60%,13.50%,9.80%,-1.47%,1.99%,10.06%,5.29%,27.68%,11.43%,0.84,0.83,1.24%,1.15%,-0.02%,3.89%,8.16%,-1.80%,12.02%,-1.80%,30.78%,57.74,-0.71%,0.27%,2.40,10563.46,0.83,65.60,-0.44%,8816105,2/2/2017 8:30:00 AM
"MRLN","Marlin Business Services Corp.","Financial","Mortgage Investment","USA",312.87,18.28,12.90,1.52,3.46,1.96,5.06,,2.23%,30.50%,1.38,10.20%,17.47%,23.70%,12.00%,9.80%,60.20%,17.10%,12.44,11.19,2.20%,-0.98%,78.00%,2.97%,0.54%,1.54,2.00%,10.80%,2.00%,,,0.00,4.30,91.40%,31.40%,18.70%,3.50%,6.12%,27.34%,32.09%,80.68%,20.33%,1.30,0.63,2.78%,2.25%,4.01%,10.72%,30.01%,-1.57%,25.12%,-1.57%,83.58%,64.06,0.00%,1.00%,2.50,39.11,0.55,25.15,1.00%,21659,1/26/2017 4:30:00 PM
"MRNS","Marinus Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",30.73,,,,,1.14,0.84,,,,-1.61,23.40%,18.20%,,,,4.60%,,19.70,17.69,0.10%,-97.44%,41.60%,-24.06%,11.47%,1.23,-61.30%,-82.60%,,4.00,4.00,0.10,0.23,,,,17.29%,31.09%,62.50%,-9.30%,-67.30%,54.46%,,0.09,9.36%,7.13%,14.21%,25.97%,-5.76%,-16.58%,87.88%,-76.92%,89.94%,67.34,-1.89%,-0.62%,2.00,1647.92,0.45,1.56,-2.50%,744818,3/9/2017 8:30:00 AM
"MRO","Marathon Oil Corporation","Basic Materials","Independent Oil & Gas","USA",13719.84,,59.41,,3.22,0.78,,,1.24%,,-2.60,19.70%,400.00%,-25.30%,,-22.40%,-37.90%,2.70%,849.00,845.31,0.20%,0.00%,83.80%,-0.30%,5.85%,4.16,-6.60%,-11.40%,-7.30%,1.60,1.50,0.38,0.41,62.60%,-21.10%,-50.20%,-0.12%,2.08%,-12.00%,-2.84%,54.74%,-6.35%,2.24,0.64,5.42%,3.39%,0.54%,-3.80%,4.60%,-11.37%,9.12%,-15.92%,69.81%,48.99,-1.70%,2.30%,2.40,11891.68,2.05,16.16,0.56%,24324533,2/15/2017 4:30:00 PM
